id,code,tradeStatus,code_name,exchange,type,date
sh.000001,000001,1,上证综合指数,sh,2,1991-07-15
sh.000002,000002,1,上证A股指数,sh,2,1992-02-21
sh.000003,000003,1,上证B股指数,sh,2,1992-08-17
sh.000004,000004,1,上证工业类指数,sh,2,1993-05-03
sh.000005,000005,1,上证商业类指数,sh,2,1993-05-03
sh.000006,000006,1,上证房地产指数,sh,2,1993-05-03
sh.000007,000007,1,上证公用事业指数,sh,2,1993-05-03
sh.000008,000008,1,上证综合业类指数,sh,2,1993-05-03
sh.000009,000009,1,上证380,sh,2,2010-11-29
sh.000010,000010,1,上证180指数,sh,2,2002-07-01
sh.000011,000011,1,上证基金指数,sh,2,2000-06-09
sh.000012,000012,1,上证国债指数,sh,2,2003-01-02
sh.000013,000013,1,上证企业债指数,sh,2,2003-06-09
sh.000015,000015,1,上证红利指数,sh,2,2005-01-04
sh.000016,000016,1,上证50指数,sh,2,2004-01-02
sh.000017,000017,1,新上证综指,sh,2,2006-01-04
sh.000018,000018,1,上证180金融股指数,sh,2,2007-12-10
sh.000019,000019,1,上证公司治理指数,sh,2,2008-01-02
sh.000020,000020,1,上证中型企业综合指数,sh,2,2008-05-12
sh.000021,000021,1,上证180公司治理指数,sh,2,2008-09-10
sh.000022,000022,1,沪公司债,sh,2,2008-11-19
sh.000025,000025,1,上证180基建指数,sh,2,2008-12-15
sh.000026,000026,1,上证180资源指数,sh,2,2008-12-15
sh.000027,000027,1,上证180交通运输指数,sh,2,2008-12-15
sh.000028,000028,1,上证180成长指数,sh,2,2009-01-09
sh.000029,000029,1,上证180价值指数,sh,2,2009-01-09
sh.000030,000030,1,上证180相对成长指数,sh,2,2009-01-09
sh.000031,000031,1,上证180相对价值指数,sh,2,2009-01-09
sh.000032,000032,1,上证能源行业指数,sh,2,2009-01-09
sh.000033,000033,1,上证原材料行业指数,sh,2,2009-01-09
sh.000034,000034,1,上证工业行业指数,sh,2,2009-01-09
sh.000035,000035,1,上证可选消费行业指数,sh,2,2009-01-09
sh.000036,000036,1,上证主要消费行业指数,sh,2,2009-01-09
sh.000037,000037,1,上证医药卫生行业指数,sh,2,2009-01-09
sh.000038,000038,1,上证金融地产行业指数,sh,2,2009-01-09
sh.000039,000039,1,上证信息技术行业指数,sh,2,2009-01-09
sh.000040,000040,1,上证电信业务行业指数,sh,2,2009-01-09
sh.000041,000041,1,上证公用事业行业指数,sh,2,2009-01-09
sh.000042,000042,1,上证中央企业50指数,sh,2,2009-03-30
sh.000043,000043,1,上证超级大盘指数,sh,2,2009-04-23
sh.000044,000044,1,上证中盘,sh,2,2009-07-03
sh.000045,000045,1,上证小盘,sh,2,2009-07-03
sh.000046,000046,1,上证中小,sh,2,2009-07-03
sh.000047,000047,1,上证全指,sh,2,2009-07-03
sh.000048,000048,1,责任指数,sh,2,2009-08-05
sh.000049,000049,1,上证民企,sh,2,2009-08-25
sh.000050,000050,1,50等权,sh,2,2011-01-04
sh.000051,000051,1,180等权,sh,2,2011-05-24
